fullNameForSearch,age,position,height,team,overall_rating,awareness_rating,speed_rating,agility_rating,jumping_rating,acceleration_rating,archetype,bCVision_rating,blockShedding_rating,breakSack_rating,breakTackle_rating,carrying_rating,catchInTraffic_rating,catching_rating,changeOfDirection_rating,college,deepRouteRunning_rating,finesseMoves_rating,firstName,hitPower_rating,impactBlocking_rating,injury_rating,iteration,jerseyNum,jukeMove_rating,kickAccuracy_rating,kickPower_rating,kickReturn_rating,lastName,leadBlock_rating,manCoverage_rating,mediumRouteRunning_rating,passBlockFinesse_rating,passBlockPower_rating,passBlock_rating,playAction_rating,playRecognition_rating,plyrAssetname,plyrBirthdate,plyrHandedness,plyrPortrait,powerMoves_rating,press_rating,primaryKey,pursuit_rating,release_rating,runBlockFinesse_rating,runBlockPower_rating,runBlock_rating,runningStyle_rating,shortRouteRunning_rating,signingBonus,spectacularCatch_rating,spinMove_rating,stamina_rating,status,stiffArm_rating,strength_rating,tackle_rating,teamId,throwAccuracyDeep_rating,throwAccuracyMid_rating,throwAccuracyShort_rating,throwOnTheRun_rating,throwPower_rating,throwUnderPressure_rating,totalSalary,toughness_rating,trucking_rating,weight,yearsPro,zoneCoverage_rating
Darrell Henderson Jr,25,HB,68,Rams,79,81,89,88,81,95,HB_ElusiveBack,82,25,25,76,94,53,67,79,Memphis,52,10,Darrell,19,38,87,launch-ratings,27,86,13,16,75,Henderson Jr,36,12,57,33,34,64,16,26,HendersonDarrell_20509,8/19/97,Right,9498,10,16,20509,35,59,27,25,35,Default Stride High and Tight,63,1080000,52,78,88,published,76,68,36,24,20,26,31,21,55,19,3120000,87,72,208,3,15
Denico Autry,32,LE,77,Titans,79,94,69,68,72,72,DE_PowerRusher,19,77,12,10,45,15,35,64,Mississippi St.,4,72,Denico,73,78,89,launch-ratings,96,10,11,17,10,Autry,18,24,8,45,45,45,6,92,AutryDenico_2366,7/15/90,Right,7005,85,10,2366,86,15,45,45,45,Default Stride Awkward,15,8940000,15,10,83,published,35,83,83,30,6,6,6,6,14,16,12500000,85,25,285,8,29
Desmond King II,27,CB,70,Texans,79,79,88,93,83,90,CB_Zone,77,61,10,60,74,72,75,92,Iowa,10,39,Desmond,68,55,94,launch-ratings,25,83,21,29,85,King II,13,79,12,35,35,35,6,80,KingDesmond_12570,12/14/94,Right,8620,31,75,12570,82,18,35,35,35,Default,22,4470000,76,67,92,published,44,72,63,32,6,6,6,6,21,12,2500000,84,28,200,5,83
Dexter Lawrence II,24,LE,76,Giants,79,85,73,67,74,75,DE_RunStopper,26,79,12,17,42,23,36,53,Clemson,12,65,Dexter,82,88,93,launch-ratings,97,23,15,15,40,Lawrence II,43,13,14,45,45,45,6,85,LawrenceDexter_20552,11/12/97,Right,9548,79,14,20552,85,12,45,45,45,Long Stride Loose,18,11250000,22,19,82,published,31,93,87,16,6,6,6,6,19,10,12750000,91,46,342,3,24
Elijah Moore,22,WR,70,Jets,79,76,92,92,84,91,WR_Playmaker,86,25,21,74,76,83,88,93,Ole Miss,79,10,Elijah,15,41,86,launch-ratings,8,87,13,16,77,Moore,23,12,77,14,18,27,18,16,MooreElijah_21599,3/27/00,Right,1162,10,18,21599,31,66,32,27,42,Default Stride Loose,79,3880000,84,77,87,published,39,59,24,18,10,10,15,10,36,20,5060000,86,43,178,1,17
Erik McCoy,25,C,76,Saints,79,84,73,62,76,78,C_Agile,10,23,12,9,30,10,30,59,Texas AM,5,12,Erik,22,84,91,launch-ratings,78,10,21,22,10,McCoy,87,11,5,83,79,82,6,28,McCoyErik_20437,8/27/97,Right,9563,15,10,20437,25,12,83,77,80,Default Stride Awkward,10,2710000,12,10,89,published,10,87,35,27,6,6,6,6,22,15,4840000,88,20,303,3,13
Isaiah Wynn,26,LT,74,Patriots,79,85,70,71,59,64,OT_Power,15,30,12,14,25,16,20,53,Georgia,5,13,Isaiah,36,83,85,launch-ratings,76,16,13,17,10,Wynn,84,12,8,77,81,80,6,15,WynnIsaiah_13118,12/9/95,Right,9127,18,10,13118,29,13,79,83,82,Long Stride Awkward,10,6400000,14,13,88,published,22,87,33,22,6,6,10,6,16,10,15450000,97,29,310,4,15
Jack Fox,26,P,74,Lions,79,67,81,65,69,84,KP_Power,10,29,15,5,39,15,23,57,Rice,15,10,Jack,12,16,90,launch-ratings,3,10,82,95,10,Fox,16,11,15,17,17,17,15,24,FoxJack_20716,9/1/96,Right,9460,10,10,20716,32,15,16,16,16,Default Stride Awkward,15,0,15,10,83,published,10,50,29,19,15,29,46,15,53,20,900000,65,10,215,4,20
Jack Conklin,28,RT,78,Browns,79,89,70,61,74,71,OT_Agile,12,26,12,7,29,15,24,53,Michigan St.,5,14,Jack,24,88,84,launch-ratings,78,11,19,18,9,Conklin,81,11,5,79,82,81,5,19,ConklinJack_17663,8/17/94,Right,7954,15,10,17663,29,16,86,79,84,Default Stride Awkward,14,3000000,15,12,87,published,15,87,34,5,5,5,5,5,22,13,8000000,95,24,308,6,14
Jalen Thompson,24,FS,71,Cardinals,79,81,90,85,81,92,S_Zone,51,57,10,44,58,50,72,86,Wash. St.,10,53,Jalen,70,58,89,launch-ratings,34,70,21,21,60,Thompson,14,72,10,35,35,35,6,79,ThompsonJalen_20813,7/18/98,Right,1532,50,68,20813,79,15,35,35,35,Default Stride Loose,20,320000,67,64,92,published,45,60,73,7,6,6,6,6,22,16,4320000,85,37,190,3,78
Jaquiski Tartt,30,FS,73,Eagles,79,79,91,82,82,92,S_RunSupport,45,66,15,30,62,44,64,79,Samford,10,59,Jaquiski,86,63,86,launch-ratings,5,54,22,19,35,Tartt,18,74,10,35,35,35,6,81,TarttJaquiski_2594,2/18/92,Right,7344,44,82,2594,83,25,35,35,35,Default Stride Loose,20,0,62,49,90,published,42,65,69,13,6,6,6,6,21,15,900000,86,57,215,7,76
Jerome Baker,25,MLB,74,Dolphins,79,82,88,85,87,88,MLB_FieldGeneral,53,74,12,33,61,51,58,78,Ohio State,10,63,Jerome,78,73,94,launch-ratings,55,64,12,18,10,Baker,20,62,15,44,43,45,6,83,BakerJerome_13200,12/25/96,Right,8811,54,46,13200,86,18,44,44,45,Default,20,12760000,65,54,93,published,31,73,85,12,6,6,6,6,22,15,27420000,84,24,225,4,67
Jerry Hughes Jr,34,LE,74,Texans,79,91,80,81,83,80,DE_SmallerSpeedRusher,49,74,12,33,48,25,40,65,TCU,10,85,Jerry,66,78,95,launch-ratings,55,50,25,26,10,Hughes Jr,18,43,14,45,45,45,6,87,HughesJerry_9840,8/13/88,Right,1563,69,45,9840,88,32,45,45,45,Default Stride Awkward,21,4500000,30,35,80,published,40,77,77,32,6,6,6,6,13,13,5500000,97,10,254,12,47
Justin Pugh,32,LG,77,Cardinals,79,92,64,66,71,65,G_Power,15,25,12,8,60,15,54,55,Syracuse,5,10,Justin,23,87,88,launch-ratings,67,10,23,21,11,Pugh,85,15,5,79,81,80,6,10,PughJustin_963,8/15/90,Right,6029,10,10,963,28,20,72,78,75,Default Stride Awkward,15,10020000,15,10,87,published,10,88,35,7,6,6,6,6,16,15,1820000,74,35,311,9,20
Justin Houston,33,LOLB,75,Ravens,79,84,80,80,77,82,OLB_PowerRusher,10,76,12,10,40,15,46,65,Georgia,5,66,Justin,89,86,89,launch-ratings,50,25,16,37,10,Houston,26,55,5,45,45,45,6,86,HoustonJustin_10703,1/21/89,Right,4390,81,24,10703,84,23,45,45,45,Long Stride Loose,15,0,20,25,78,published,10,84,79,25,6,6,6,6,36,14,2280000,90,40,270,11,65
Kadarius Toney,23,WR,71,Giants,79,72,93,93,86,95,WR_Playmaker,87,26,37,79,74,78,84,95,Florida,76,10,Kadarius,20,43,85,launch-ratings,89,93,22,25,80,Toney,22,15,74,24,18,28,28,18,ToneyKadarius_21609,1/27/99,Right,1261,10,17,21609,32,67,27,22,44,Default,77,7340000,80,81,85,published,64,57,27,16,37,45,49,42,54,33,6380000,79,56,193,1,18
Kamren Curl,23,SS,73,Commanders,79,84,86,83,83,90,S_Zone,63,56,10,51,55,54,65,81,Arkansas,27,53,Kamren,77,57,93,launch-ratings,31,69,17,22,59,Curl,12,72,31,35,35,35,10,82,CurlKamren_21012,3/31/99,Right,225,44,73,21012,79,30,35,35,35,Short Stride Loose,38,110000,62,58,91,published,36,68,76,26,10,10,10,10,20,10,3300000,89,34,198,2,77
Kenyan Drake,28,HB,73,Raiders,79,80,91,88,83,87,HB_ElusiveBack,82,26,20,81,88,53,69,88,Alabama,53,12,Kenyan,21,54,83,launch-ratings,23,88,20,21,84,Drake,52,14,61,38,42,62,17,20,DrakeKenyan_17585,1/26/94,Right,7984,11,16,17585,38,52,16,20,31,Default Stride High and Tight,66,3850000,51,81,87,published,79,65,33,23,20,27,26,22,26,11,3000000,79,64,211,6,19
Kyzir White,26,ROLB,74,Eagles,79,79,84,83,85,91,OLB_PassCoverage,54,63,17,46,60,55,69,74,West Virginia,20,59,Kyzir,87,74,89,launch-ratings,43,63,17,18,35,White,18,65,26,45,45,45,5,77,WhiteKyzir_13194,3/24/96,Right,9112,50,54,13194,84,27,45,45,45,Default Stride Loose,34,930000,56,53,91,published,40,67,93,13,5,5,5,5,23,17,500000,86,34,234,4,75
Matt Gay,28,K,72,Rams,79,66,68,59,68,71,KP_Power,10,13,21,16,40,15,30,53,Utah,15,10,Matt,12,21,85,launch-ratings,8,10,85,96,10,Gay,16,12,15,16,16,16,20,10,GayMatt_20715,3/15/94,Right,9469,10,10,20715,15,15,17,17,21,Default Stride Awkward,15,0,15,10,87,published,10,41,13,24,25,30,35,20,27,24,2540000,60,10,232,3,12
Mecole Hardman,24,WR,70,Chiefs,79,76,97,92,86,95,WR_Playmaker,87,41,34,75,71,77,86,87,Georgia,81,11,Mecole,31,41,88,launch-ratings,17,84,32,44,86,Hardman,20,46,78,10,10,23,36,38,HardmanMecole_20508,3/12/98,Right,9489,11,41,20508,51,70,11,18,42,Short Stride Loose,78,1870000,80,79,85,published,57,60,45,9,40,40,45,44,58,29,5940000,73,51,180,3,41
Mike Onwenu,24,LG,75,Patriots,79,81,55,55,65,52,G_Power,24,22,12,20,29,24,26,48,Michigan,6,12,Mike,30,85,91,launch-ratings,71,18,16,15,10,Onwenu,84,17,10,75,79,77,8,22,OnwenuMichael_21205,12/10/97,Right,500,22,15,21205,31,15,84,85,84,Default Stride Awkward,18,200000,18,20,85,published,30,90,25,22,6,6,6,6,21,12,3300000,85,29,350,2,22
Mike McGlinchey,27,RT,80,49ers,79,75,68,70,71,69,OT_Power,10,32,12,11,33,17,28,51,Notre Dame,8,10,Mike,38,83,88,launch-ratings,69,10,12,15,10,McGlinchey,84,11,10,73,76,75,6,20,McGlincheyMike_13116,1/12/95,Right,8987,10,10,13116,27,14,91,90,90,Long Stride Awkward,15,11400000,15,10,86,published,10,89,32,15,6,6,6,6,11,15,17810000,95,22,310,4,13
Mitch Morse,30,C,78,Bills,79,88,65,65,76,60,C_Power,10,20,12,5,40,15,40,57,Missouri,5,10,Mitch,20,87,88,launch-ratings,60,10,25,25,10,Morse,85,12,5,78,84,82,6,15,MorseMitch_2522,4/21/92,Right,7245,10,10,2522,20,15,74,78,76,Default Stride Awkward,15,14750000,15,10,92,published,30,92,30,3,6,6,6,6,30,14,16000000,85,20,305,7,15
Nick Bolton,22,MLB,71,Chiefs,79,78,87,73,78,84,MLB_RunStopper,32,72,17,21,54,34,53,71,Missouri,6,50,Nick,87,78,92,launch-ratings,32,42,11,20,10,Bolton,17,60,10,45,45,45,6,81,BoltonNick_21474,3/10/00,Right,977,62,46,21474,88,15,45,45,45,Default Stride Awkward,20,1600000,37,38,88,published,31,74,92,9,6,6,6,6,13,16,4240000,89,29,237,1,68
Pat Freiermuth,23,TE,77,Steelers,79,82,80,77,88,82,TE_Possession,75,55,19,67,73,82,89,71,Penn State,65,44,Pat,58,69,91,launch-ratings,88,65,62,72,30,Freiermuth,56,32,70,59,62,62,6,41,FreiermuthPat_21561,10/25/98,Right,1377,49,26,21561,59,76,57,60,61,Long Stride Default,73,1750000,84,61,89,published,73,77,58,29,10,15,50,12,30,13,4280000,86,77,258,1,41
Rashaan Evans,26,MLB,74,Falcons,79,82,84,84,75,87,MLB_RunStopper,42,79,12,22,51,52,56,74,Alabama,5,70,Rashaan,95,87,88,launch-ratings,54,47,24,22,10,Evans,28,54,5,45,45,45,6,82,EvansRashaan_13132,11/8/95,Right,8880,64,51,13132,83,12,45,45,45,Default Stride Loose,15,500000,48,33,85,published,47,83,85,14,6,6,6,6,25,10,1150000,85,48,232,4,63
Rodney McLeod Jr,32,SS,70,Colts,79,83,84,90,86,89,S_Zone,57,44,11,46,65,35,69,83,Virginia,10,59,Rodney,81,58,90,launch-ratings,26,59,19,17,68,McLeod Jr,13,75,13,35,35,35,6,81,McLeodJrRodney_11813,6/23/90,Right,5975,52,73,11813,71,25,35,35,35,Default,15,1470000,66,65,91,published,44,60,68,10,6,6,6,6,21,19,300000,77,46,183,10,83
Rondale Moore,22,WR,67,Cardinals,79,75,94,92,87,92,WR_Playmaker,88,29,34,79,74,77,87,91,Purdue,77,10,Rondale,18,44,85,launch-ratings,4,87,20,23,77,Moore,24,10,76,20,23,32,29,16,MooreRondale_21600,6/9/00,Right,1264,10,15,21600,35,65,28,24,47,Short Stride Loose,79,2400000,77,80,84,published,53,66,25,7,35,36,42,37,41,31,4520000,78,54,181,1,16
Sammy Watkins,29,WR,73,Packers,79,75,91,87,87,91,WR_Playmaker,91,40,22,83,70,83,83,85,Clemson,78,20,Sammy,15,40,80,launch-ratings,11,89,24,24,81,Watkins,20,15,79,17,18,33,16,15,WatkinsSammy_12390,6/14/93,Right,6630,15,15,12390,35,80,31,37,59,Short Stride Loose,78,350000,86,86,86,published,74,67,25,20,22,27,32,21,39,24,1420000,82,59,211,8,24
Sean Murphy-Bunting,25,CB,72,Buccaneers,79,78,92,90,94,92,CB_MantoMan,70,61,10,60,63,63,76,90,Central Michigan,28,37,Sean,62,49,88,launch-ratings,23,72,26,26,60,Murphy-Bunting,18,79,34,35,35,25,6,77,MurphyBuntingSean_20608,6/19/97,Right,9405,28,79,20608,76,40,35,35,25,Long Stride Default,42,3710000,72,67,90,published,38,59,58,6,6,6,6,6,29,10,4710000,83,37,195,3,74
T.J. Edwards,26,MLB,73,Eagles,79,80,78,82,79,78,MLB_RunStopper,35,73,31,31,65,52,66,76,Wisconsin,5,55,T.J.,79,81,90,launch-ratings,57,30,20,20,10,Edwards,17,60,5,45,45,45,28,80,EdwardsTJ_20591,8/12/96,Right,9449,62,44,20591,88,12,45,45,45,Default Stride Loose,15,480000,48,25,88,published,50,72,95,13,32,36,39,41,42,33,1860000,85,47,242,3,68
Trevon Moehrig,23,FS,73,Raiders,79,79,90,82,80,90,S_Zone,64,56,10,51,64,68,72,81,TCU,32,44,Trevon,89,54,92,launch-ratings,25,70,21,21,65,Moehrig,29,74,36,35,35,35,6,80,MoehrigTrevon_21490,6/16/99,Right,1212,38,72,21490,78,45,35,35,35,Long Stride Loose,38,3090000,69,63,96,published,55,61,68,23,6,6,6,6,22,20,4800000,80,42,202,1,83
Al Woods,35,DT,76,Seahawks,78,83,67,64,88,70,DT_RunStopper,10,79,12,10,25,15,37,52,LSU,3,50,Al,67,83,89,launch-ratings,99,10,22,19,10,Woods,34,12,7,45,45,45,6,82,WoodsAl_9869,3/25/87,Right,3268,73,12,9869,80,15,45,45,45,Default Stride Awkward,15,7730000,15,10,78,published,10,93,85,28,6,6,6,6,20,14,1240000,85,15,330,12,29
Amon-Ra St. Brown,22,WR,72,Lions,78,78,87,87,91,89,WR_Slot,81,33,20,73,73,84,94,83,USC,77,10,Amon-Ra,23,48,90,launch-ratings,14,78,14,20,74,St. Brown,26,12,79,23,27,30,18,19,StBrownAmonRa_21606,10/24/99,Right,1313,10,20,21606,36,75,28,36,47,Default,79,780000,86,73,89,published,59,67,34,19,10,15,20,10,32,20,3490000,85,57,197,1,19
Andy Janovich,29,FB,73,Texans,78,83,77,72,82,85,FB_Blocking,73,41,12,48,79,50,69,74,Nebraska,41,21,Andy,58,68,85,launch-ratings,41,69,21,20,66,Janovich,87,19,52,46,50,70,5,20,JanovichAndy_17616,5/23/93,Right,8071,21,18,17616,58,48,59,63,67,Default Stride High and Tight,62,700000,50,65,84,published,76,81,57,32,5,10,15,5,28,16,750000,84,79,238,6,27
Blake Martinez,28,MLB,74,Giants,78,85,80,80,77,86,MLB_RunStopper,32,73,12,12,45,27,58,72,Stanford,5,56,Blake,80,78,86,launch-ratings,54,38,19,19,10,Martinez,20,51,5,43,44,45,6,88,MartinezBlake_17680,1/9/94,Right,8130,51,53,17680,84,18,44,44,45,Default,15,6250000,31,32,85,published,39,79,85,16,6,6,6,6,25,10,1420000,93,31,237,6,62
Bobby McCain,29,FS,71,Commanders,78,83,87,89,86,87,S_Hybrid,79,55,15,65,65,69,75,90,Memphis,10,38,Bobby,53,51,89,launch-ratings,20,84,11,15,73,McCain,11,76,10,35,35,35,6,81,McCainBobby_2629,8/18/93,Right,7233,31,77,2629,75,25,35,35,35,Default Stride Loose,20,5800000,75,82,93,published,35,69,56,26,6,6,6,6,27,11,2100000,87,31,192,7,82
Bradley Chubb,26,LOLB,76,Broncos,78,81,85,80,86,88,OLB_SpeedRusher,39,81,12,36,53,36,56,68,N.C. State,4,79,Bradley,87,89,86,launch-ratings,55,38,15,18,10,Chubb,17,45,8,45,45,45,6,82,ChubbBradley_13079,6/24/96,Right,8845,74,28,13079,83,13,45,45,45,Long Stride Loose,15,17920000,55,33,82,published,42,91,76,4,6,6,6,6,20,16,22080000,95,32,275,4,50
Brandon McManus,31,K,75,Broncos,78,66,75,74,68,79,KP_Power,22,29,15,15,40,15,35,59,Temple,15,10,Brandon,29,16,95,launch-ratings,8,25,79,96,10,McManus,16,11,15,17,17,17,15,24,McManusBrandon_2278,7/25/91,Right,7240,10,10,2278,35,15,16,16,15,Default Stride Awkward,15,7250000,15,24,75,published,10,56,24,4,15,15,33,15,38,16,14200000,75,10,201,9,20
Chase Claypool,24,WR,76,Steelers,78,81,92,78,95,90,WR_Physical,85,50,32,79,72,86,84,75,Notre Dame,80,30,Chase,45,61,87,launch-ratings,11,79,15,21,65,Claypool,41,41,79,48,47,49,25,28,ClaypoolChase_21077,7/7/98,Left,700,26,43,21077,57,78,49,47,55,Long Stride Default,81,2770000,90,78,86,published,73,72,43,29,26,30,40,35,47,26,3840000,87,67,238,2,50
Christian Wilkins,26,RE,76,Dolphins,78,83,72,73,73,75,DE_RunStopper,52,82,12,26,43,36,47,60,Clemson,21,65,Christian,80,83,94,launch-ratings,94,31,11,15,25,Wilkins,38,23,25,45,45,45,6,85,WilkinsChristian_20550,12/20/95,Right,9673,78,16,20550,86,24,45,45,45,Long Stride High and Tight,31,13430000,42,27,78,published,47,86,82,12,6,6,6,6,24,10,12750000,89,51,315,3,34
Chuck Clark,27,SS,72,Ravens,78,80,88,87,82,92,S_Zone,55,53,10,44,61,57,68,86,Virginia Tech,10,49,Chuck,84,65,96,launch-ratings,36,61,25,25,35,Clark,20,75,10,35,35,35,15,78,ClarkChuck_12785,4/19/95,Right,8507,38,65,12785,78,15,35,35,35,Default,20,8560000,62,48,93,published,46,67,76,25,10,10,15,15,30,11,7520000,92,52,205,5,73
Corey Bojorquez,26,P,72,Browns,78,65,70,63,44,74,KP_Power,15,24,16,10,33,10,24,52,New Mexico,10,10,Corey,15,18,87,launch-ratings,13,10,81,95,10,Bojorquez,14,12,12,17,19,17,14,13,BojorquezCorey_13684,9/13/95,Left,9325,10,10,13684,23,12,18,18,19,Default,14,1700000,12,10,86,published,15,41,28,5,20,25,30,19,34,20,1680000,61,17,208,4,17
Curtis Samuel,26,WR,71,Commanders,78,76,94,91,88,93,WR_Playmaker,88,24,22,80,74,83,84,86,Ohio State,75,18,Curtis,24,43,82,launch-ratings,10,87,15,25,75,Samuel,23,20,76,30,30,38,6,28,SamuelCurtis_12579,8/11/96,Right,8716,12,23,12579,32,78,16,23,43,Default,75,0,83,76,84,published,48,64,26,26,6,10,15,10,27,23,30000000,74,40,196,5,28
D.J. Chark Jr,25,WR,76,Lions,78,77,94,85,93,93,WR_DeepThreat,84,21,20,72,73,84,84,82,LSU,81,10,D.J.,17,41,84,launch-ratings,4,82,15,19,78,Chark Jr,17,10,79,20,15,26,10,16,CharkDJ_13255,9/23/96,Right,8843,10,10,13255,29,78,22,27,50,Long Stride Default,77,3520000,87,76,86,published,56,64,27,19,10,15,20,15,28,19,500000,80,33,205,4,17
Dalton Risner,27,LG,77,Broncos,78,83,62,61,71,64,G_Power,20,36,12,10,34,18,31,59,Kansas State,5,24,Dalton,41,86,90,launch-ratings,66,19,12,18,10,Risner,85,12,6,78,82,80,6,29,RisnerDalton_20361,7/13/95,Right,9612,31,10,20361,42,15,76,82,79,Default Stride Awkward,15,3520000,16,17,86,published,23,86,44,4,6,6,6,6,26,10,4950000,90,27,312,3,12
Deatrich Wise Jr,28,LE,77,Patriots,78,84,74,69,80,78,DE_RunStopper,31,78,12,18,32,35,36,58,Arkansas,17,64,Deatrich,81,88,92,launch-ratings,91,32,22,14,10,Wise Jr,17,24,17,45,45,45,6,83,WiseJrDeatrich_12607,7/26/94,Right,8787,76,10,12607,84,15,45,45,45,Long Stride Loose,17,8850000,33,16,77,published,35,85,88,22,6,6,6,6,11,16,13090000,84,24,271,5,33
Dee Ford,31,LE,74,49ers,78,84,84,85,84,84,DE_SmallerSpeedRusher,32,70,12,21,50,15,45,70,Auburn,5,79,Dee,76,77,76,launch-ratings,55,40,12,14,10,Ford,17,53,5,45,45,45,6,79,FordDee_10861,3/19/91,Right,6418,74,20,10861,84,30,45,45,45,Default Stride Awkward,15,5830000,20,60,74,published,35,83,79,15,6,6,6,6,25,16,1120000,76,28,252,8,64
Derrick Nnadi,26,DT,73,Chiefs,78,86,62,55,68,68,DT_RunStopper,24,81,12,16,27,15,25,48,Florida State,3,59,Derrick,79,87,93,launch-ratings,91,25,12,17,10,Nnadi,31,19,7,45,45,45,6,88,NnadiDerrick_13136,5/9/96,Right,9005,71,15,13136,83,15,45,45,45,Long Stride Loose,15,2250000,15,18,80,published,37,88,82,9,6,6,6,6,24,16,500000,93,46,312,4,28
DeShon Elliott,25,SS,73,Lions,78,83,87,79,86,90,S_Zone,63,58,15,41,66,58,74,80,Texas,10,52,DeShon,84,67,86,launch-ratings,5,70,17,18,35,Elliott,22,69,10,35,35,35,6,80,ElliottDeshon_13154,4/21/97,Right,8877,44,72,13154,84,25,35,35,35,Default Stride Loose,20,140000,60,56,88,published,56,57,66,19,6,6,6,6,24,15,960000,85,42,210,4,79
Dre Greenlaw,25,ROLB,72,49ers,78,83,84,80,80,87,OLB_PassCoverage,53,69,12,37,55,35,65,74,Arkansas,20,60,Dre,84,74,84,launch-ratings,57,51,12,18,10,Greenlaw,27,67,25,45,45,45,6,81,GreenlawDre_20475,5/25/97,Left,9480,54,47,20475,85,28,45,45,45,Default Stride Awkward,33,320000,55,47,86,published,30,72,85,15,6,6,6,6,20,15,4290000,84,46,230,3,74
Eric Stokes,23,CB,73,Packers,78,72,95,86,91,94,CB_MantoMan,71,44,10,49,58,58,68,84,Georgia,34,32,Eric,48,39,91,launch-ratings,21,79,10,15,48,Stokes,18,79,36,35,35,25,9,69,StokesEric_21705,3/1/99,Right,1224,27,84,21705,68,36,35,35,35,Default Stride Loose,38,6030000,62,69,92,published,38,58,50,20,10,12,18,14,29,12,5890000,78,38,194,1,79
Frank Clark,29,RE,75,Chiefs,78,84,82,79,86,89,DE_PowerRusher,32,67,12,16,56,21,44,69,Michigan,4,74,Frank,82,89,87,launch-ratings,55,26,19,22,10,Clark,19,34,8,45,45,45,6,80,ClarkFrank_2552,6/14/93,Right,7046,79,10,2552,82,23,45,45,45,Default Stride Loose,15,29590000,30,20,81,published,32,88,74,9,6,6,6,6,27,16,12790000,72,35,260,7,47
Gabe Jackson,31,RG,75,Seahawks,78,86,52,60,72,59,G_Power,11,35,12,5,30,10,44,49,Mississippi St.,5,10,Gabe,25,86,92,launch-ratings,66,10,20,22,10,Jackson,86,12,5,77,79,78,6,10,JacksonGabe_10875,7/12/91,Right,6461,10,10,10875,19,12,75,82,79,Default Stride Awkward,10,9580000,12,10,88,published,25,90,35,28,6,6,6,6,19,16,13000000,77,33,335,8,12
Gus Edwards,27,HB,73,Ravens,78,81,88,82,83,86,HB_PowerBack,86,31,23,82,93,50,62,81,Rutgers,34,10,Gus,31,35,85,launch-ratings,35,81,13,18,50,Edwards,34,15,43,26,30,56,15,18,EdwardsGus_13703,4/13/95,Right,9764,10,20,13703,41,39,22,25,30,Default,49,3750000,45,77,85,published,84,79,37,25,10,15,20,15,24,11,8630000,87,86,238,4,20
Isaiah Simmons,24,MLB,76,Cardinals,78,76,93,91,93,93,MLB_PassCoverage,69,65,12,43,65,60,72,85,Clemson,32,64,Isaiah,86,69,93,launch-ratings,9,68,20,20,58,Simmons,18,68,36,45,45,23,6,72,SimmonsIsaiah_21000,7/26/98,Right,569,67,72,21000,83,43,45,45,29,Long Stride Default,39,18670000,67,63,92,published,47,73,80,7,6,6,6,6,24,12,2000000,87,39,238,2,75
J.D. McKissic,29,HB,70,Commanders,78,78,88,91,87,90,HB_ReceivingBack,79,45,20,79,84,64,77,84,Arkansas St.,66,10,J.D.,15,30,85,launch-ratings,23,85,25,25,78,McKissic,32,11,73,21,26,58,10,47,McKissicJD_17893,8/15/93,Right,8143,10,15,17893,45,63,25,28,40,Short Stride Loose,80,3510000,70,81,86,published,64,69,27,26,10,10,15,10,27,17,1650000,79,57,195,6,16
James Daniels,24,RG,75,Steelers,78,85,64,73,75,69,G_Agile,15,26,12,8,28,15,20,60,Iowa,5,10,James,29,83,88,launch-ratings,78,10,14,15,10,Daniels,82,12,5,83,79,81,6,10,DanielsJames_13137,9/13/97,Right,8859,10,10,13137,28,12,82,76,79,Default,10,8740000,12,10,89,published,10,84,28,29,6,6,6,6,26,10,17750000,82,21,327,4,12
Jameson Williams,21,WR,74,Lions,78,65,98,94,82,95,WR_Playmaker,86,25,21,73,66,77,80,94,Alabama,80,10,Jameson,22,42,91,launch-ratings,18,85,17,18,82,Williams,23,15,78,22,19,25,13,16,WilliamsJameson_22375,3/26/01,Right,2033,10,14,22375,33,72,26,21,42,Short Stride Loose,75,9880000,80,78,80,published,45,63,26,19,6,10,15,17,31,18,7570000,86,44,180,0,22
Jeremiah Owusu-Koramoah,22,ROLB,74,Browns,78,83,89,86,87,92,OLB_PassCoverage,61,65,41,48,57,53,65,79,Notre Dame,23,63,Jeremiah,85,74,89,launch-ratings,28,55,17,18,35,Owusu-Koramoah,18,67,29,45,45,45,29,81,OwusuKoramoahJeremiah_21500,11/4/99,Right,1060,49,48,21500,89,31,45,45,45,Default Stride Loose,34,2080000,56,53,88,published,40,65,75,5,30,36,40,47,43,32,4400000,88,38,221,1,73
Johnathan Abram,25,SS,72,Raiders,78,80,92,84,81,90,S_RunSupport,61,60,31,52,64,33,64,81,Mississippi St.,10,54,Johnathan,91,65,88,launch-ratings,24,71,21,29,50,Abram,12,68,10,35,35,35,30,81,AbramJohnathan_20459,10/25/96,Right,9358,58,64,20459,80,12,35,35,35,Default,20,9240000,61,63,91,published,36,70,70,23,25,32,45,35,53,26,2250000,92,25,205,3,74
Jonah Williams,24,LT,76,Bengals,78,91,69,67,70,73,OT_Agile,30,30,12,15,43,20,34,56,Alabama,5,38,Jonah,44,83,88,launch-ratings,73,28,16,14,10,Williams,84,15,5,83,79,81,6,29,WilliamsJonah_20530,11/17/97,Right,9678,31,10,20530,42,35,80,76,78,Default Stride Awkward,15,15630000,25,15,89,published,33,85,39,2,6,6,6,6,30,6,14600000,90,35,305,3,20
